team,year,jumper_number,player_name,games,kicks,marks,handballs,disposals,disposal_avg,goals,behinds,hitouts,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assists
North Melbourne,2023,40,"Ford, Eddie",14,92,66,103,195,13.93,12,4,0,20,8,26,6,25,7,12,0,70,126,9,13,17,1,6
North Melbourne,2023,19,"Logue, Griffin",15,105,76,82,187,12.47,1,1,22,15,42,7,1,27,6,8,0,71,117,15,2,79,7,0
North Melbourne,2023,10,"Cunnington, Ben",9,62,20,116,178,19.78,3,2,0,23,6,21,48,30,7,10,0,102,85,1,2,3,0,4
North Melbourne,2023,15,"Howe, Daniel",11,107,40,53,160,14.55,2,1,0,24,23,24,17,30,7,8,0,45,117,2,2,23,4,1
North Melbourne,2023,31,"Goater, Josh",10,79,46,61,140,14.0,0,1,0,13,25,12,6,17,7,4,0,34,107,0,1,18,7,3
North Melbourne,2023,43,"Hall, Aaron",6,103,35,37,140,23.33,0,0,0,18,21,21,4,14,2,3,0,27,98,1,0,6,0,1
North Melbourne,2023,27,"Bergman, Miller",12,86,42,51,137,11.42,0,0,0,13,22,13,4,17,7,2,0,33,107,1,0,20,1,4
North Melbourne,2023,6,"Wardlaw, George",8,58,18,59,117,14.63,1,1,0,46,9,10,33,26,13,10,2,59,67,1,3,7,0,2
North Melbourne,2023,28,"Turner, Kayne",12,60,36,55,115,9.58,2,2,0,37,3,18,6,12,4,2,0,45,69,2,3,18,1,6
North Melbourne,2023,38,"Xerri, Tristan",9,30,9,73,103,11.44,3,0,229,26,6,10,26,24,13,11,0,73,30,2,2,30,0,1
North Melbourne,2023,21,"Coleman-Jones, Callum",9,41,27,41,82,9.11,4,3,64,23,3,11,12,30,5,7,0,43,42,11,8,15,0,4
North Melbourne,2023,30,"Comben, Charlie",7,28,17,27,55,7.86,4,8,21,21,1,2,4,22,7,15,0,31,28,4,9,16,1,3
North Melbourne,2023,35,"Lazzaro, Charlie",6,15,6,38,53,8.83,0,0,0,18,1,7,6,6,1,4,0,22,32,0,0,1,0,3
North Melbourne,2023,39,"Perez, Flynn",5,32,17,21,53,10.6,1,0,0,9,10,6,0,14,2,2,0,10,40,0,0,11,0,0
North Melbourne,2023,17,"Young, Lachie",4,26,16,26,52,13.0,0,1,0,12,9,7,0,12,2,2,0,17,34,2,0,18,0,0
North Melbourne,2023,34,"Archer, Jackson",5,24,12,18,42,8.4,0,0,0,8,8,1,1,12,6,6,0,12,32,1,0,7,0,0
North Melbourne,2023,36,"Spicer, Phoenix",6,18,6,21,39,6.5,1,2,0,23,1,5,2,7,4,1,0,17,23,0,0,7,3,1
North Melbourne,2023,41,"Drury, Blake",4,14,5,15,29,7.25,0,2,0,5,1,2,1,6,2,2,0,9,19,0,1,1,0,1
North Melbourne,2023,37,"Harvey, Cooper",3,17,11,11,28,9.33,1,0,0,6,0,4,0,7,1,1,0,11,15,7,1,3,0,1
North Melbourne,2023,1,"Mahony, Jack",2,12,8,13,25,12.5,0,0,0,3,4,3,1,3,0,1,0,4,20,0,1,3,0,0
North Melbourne,2023,16,"Bonar, Aiden",2,7,7,17,24,12.0,0,0,0,4,0,0,0,3,0,2,0,10,14,1,0,7,1,0
North Melbourne,2023,42,"Dawson, Kallan",1,6,3,3,9,9.0,0,0,0,1,2,1,0,1,0,1,0,2,6,1,0,2,0,0
North Melbourne,2023,46,"Hansen, Robert",2,4,1,4,8,4.0,0,2,0,4,0,1,1,1,0,1,0,2,6,0,0,1,0,0
Port Adelaide,2023,9,"Butters, Zak",25,361,126,326,687,27.48,13,8,0,86,39,131,110,82,35,26,27,258,427,6,6,26,40,15
Port Adelaide,2023,20,"Rozee, Connor",25,390,117,254,644,25.76,21,18,0,117,33,147,94,94,33,29,21,212,430,7,12,30,4,16
Port Adelaide,2023,5,"Houston, Dan",25,389,143,195,584,23.36,9,5,0,85,91,113,71,77,18,23,7,200,362,14,5,78,4,11
Port Adelaide,2023,16,"Wines, Ollie",25,201,84,342,543,21.72,6,5,1,85,30,84,92,74,30,24,0,227,304,2,6,29,0,11
Port Adelaide,2023,28,"Drew, Willem",25,203,62,231,434,17.36,5,9,1,166,25,87,109,62,20,22,0,217,220,1,5,46,2,11
